title,author,publisher,description,new_this_week,weeks_on_list,isbn,image_url,scrape_date
HOW TO CHANGE YOUR MIND,Michael Pollan,Penguin Press,A personal account of how psychedelics might help the mentally ill and people dealing with everyday challenges.,True,13.0,1594204225,https://storage.googleapis.com/du-prd/books/images/9781594204227.jpg,2019-01-29
ELON MUSK,Ashlee Vance,Ecco/HarperCollins,A technology writer follows Musk’s life from his difficult South African childhood to his involvement in Internet start-ups like the rocket company SpaceX and the electric-car company Tesla.,True,5.0,0062301233,https://storage.googleapis.com/du-prd/books/images/9780062301260.jpg,2019-01-29
BECOMING,Michelle Obama,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",True,11.0,1524763136,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,2019-02-05
EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",True,49.0,0399590501,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,2019-02-05
MAID,Stephanie Land,Hachette,An unexpected pregnancy forces the author to navigate challenges faced by the working poor.,True,,0316505110,https://storage.googleapis.com/du-prd/books/images/9780316505116.jpg,2019-02-05
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,The story of a secret plot to kill George Washington in 1776.,True,3.0,1250130336,https://storage.googleapis.com/du-prd/books/images/9781250130334.jpg,2019-02-05
THE TRUTHS WE HOLD,Kamala Harris,Penguin Press,"A memoir by a daughter of immigrants who was raised in Oakland, Calif., and became the second black woman ever elected to the United States Senate.",True,3.0,0525560718,https://storage.googleapis.com/du-prd/books/images/9780525560715.jpg,2019-02-05
SAPIENS,Yuval Noah Harari,Harper,How Homo sapiens became Earth’s dominant species.,True,57.0,0062316095,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,2019-02-05
BAD BLOOD,John Carreyrou,Knopf,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient.",True,25.0,152473165X,https://storage.googleapis.com/du-prd/books/images/9781524731663.jpg,2019-02-05
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,True,10.0,1476740186,https://storage.googleapis.com/du-prd/books/images/9781476740188.jpg,2019-02-05
IN PIECES,Sally Field,Grand Central,A memoir by the two-time Academy Award and three-time Emmy Award winner.,True,11.0,1538763028,https://storage.googleapis.com/du-prd/books/images/9781538763025.jpg,2019-02-05
THE POINT OF IT ALL,"Charles Krauthammer, edited Daniel Krauthammer",Crown Forum,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",True,8.0,1984825488,https://storage.googleapis.com/du-prd/books/images/9781984825483.jpg,2019-02-05
NOTORIOUS RBG,Irin Carmon and Shana Knizhnik,Dey Street,A celebration of the life and career of Supreme Court Justice Ruth Bader Ginsburg.,True,3.0,0062415832,https://storage.googleapis.com/du-prd/books/images/9780062415837.jpg,2019-02-05
